Country,Population,Tourist $,Per Capita
Luxembourg,600000,5000000000,8334
Qatar,2600000,6000000000,2308
Macau,600000,36000000000,60000
Singapore,5600000,20000000000,3572
Hong Kong,7300000,33000000000,4521
Australia,24100000,42000000000,1743
United States,326000000,211000000000,648
Japan,127000000,34000000000,268
Russia,144300000,9000000000,63
PRC,1379000000,33000000000,24
